Resolution,Target Colors,Algorithm,Time Taken (ms),SSIM,Tradeoff Score,Rank,Resolution Normalized,Speed % Behind Best,Accuracy % Behind Best,Tradeoff % Behind Best,Speed Rank,Accuracy Rank,Tradeoff Rank
"(2560, 1440)",8,Octree-SOM,401.24666540032194,0.8910286228220723,0.8307564598457108,5,2560x1440,35086.40269185735,0.0,80.56688999288096,6.0,1.0,5.0
"(2560, 1440)",8,K-Means,532.3269842003356,0.8883847023874312,0.8755171073315094,6,2560x1440,46581.189515001926,0.29672676802090586,90.29572305194544,7.0,2.0,6.0
"(2560, 1440)",8,Uniform,1.1403458003769629,0.1709633614889372,1.0,7,2560x1440,0.0,80.81280925101365,117.3523754800728,1.0,8.0,7.0
"(2560, 1440)",8,SOM,1167.849206300525,0.8822278247898007,1.0000746885755163,8,2560x1440,102311.84787232702,0.9877121572590651,117.36860921938248,8.0,3.0,8.0
"(2560, 1440)",16,Octree-Euclidean,26.711102300396306,0.7994916982114776,0.4589147391635228,1,2560x1440,2216.8732800116545,14.120425051242163,0.0,3.0,6.0,1.0
"(2560, 1440)",16,Octree-K-Means,42.998874700060696,0.9063749676598754,0.4624423046583085,2,2560x1440,3629.6455512306466,2.6392679987095833,0.7686755716792759,4.0,5.0,2.0
"(2560, 1440)",16,Octree-Baseline,16.903065799851902,0.7375972888243422,0.4810836590767616,3,2560x1440,1366.1417212038702,20.768981354906966,4.830727370763185,2.0,7.0,3.0
"(2560, 1440)",16,Octree-SOM,211.02605420019245,0.9218514469138596,0.7002698850743867,4,2560x1440,18204.0228315648,0.9768198919828237,52.59258971520263,5.0,3.0,4.0
"(2560, 1440)",16,Median-Cut,234.19113000018115,0.9199688847062184,0.7161702280406705,5,2560x1440,20213.320109784654,1.1790404310684626,56.0573603162223,6.0,4.0,5.0
"(2560, 1440)",16,K-Means,876.2001174000034,0.9309451038719206,0.9166571627337504,6,2560x1440,75900.0323879192,0.0,99.74454610121435,7.0,1.0,6.0
"(2560, 1440)",16,Uniform,1.1528944000019692,0.388541680288129,1.0,7,2560x1440,0.0,58.26373878844905,117.90540042856956,1.0,8.0,7.0
"(2560, 1440)",16,SOM,1513.9832622007816,0.930281741407048,1.0000007478711603,8,2560x1440,131220.2026307176,0.07125688315171658,117.90556339373421,8.0,2.0,8.0
"(2560, 1440)",32,Octree-Baseline,15.625914999964152,0.7909771333547292,0.4184763506283296,1,2560x1440,1253.6631959587023,17.638219332177385,0.0,2.0,7.0,1.0
"(2560, 1440)",32,Octree-Euclidean,31.191259599654583,0.839725283092031,0.4444297441089893,2,2560x1440,2602.0792162086404,12.562238943721294,6.201878180616762,3.0,6.0,2.0
"(2560, 1440)",32,Octree-K-Means,47.50583929999266,0.9271816724554212,0.4541867183925236,3,2560x1440,4015.401002352573,3.455700138740591,8.533425535415793,4.0,5.0,3.0
"(2560, 1440)",32,Octree-SOM,95.99397780038998,0.957998872386564,0.5507150613129205,4,2560x1440,8215.897967086263,0.24680906655464202,31.600043941799445,5.0,3.0,4.0
"(2560, 1440)",32,Median-Cut,233.00035069951264,0.9415055350967666,0.6788893192045157,5,2560x1440,20084.673946333656,1.9642046410402365,62.22883758787895,6.0,4.0,5.0
"(2560, 1440)",32,K-Means,1588.2020938002825,0.9603691505224472,0.955184907653822,6,2560x1440,137484.9492414956,0.0,128.25301984679436,7.0,1.0,6.0
"(2560, 1440)",32,Uniform,1.154342900554184,0.388541680288129,1.0,7,2560x1440,0.0,59.542465511646256,138.96212975919195,1.0,8.0,7.0
"(2560, 1440)",32,SOM,2165.3706620003504,0.9584091059989852,1.0000058744954612,8,2560x1440,187484.69956897435,0.20409282434735776,138.96353354113862,8.0,2.0,8.0
"(2560, 1440)",64,Octree-Baseline,21.742241199945056,0.8894117380091136,0.383304363937213,1,2560x1440,1854.2730344995448,8.918817253315426,0.0,2.0,7.0,1.0
"(2560, 1440)",64,Octree-Euclidean,50.033861200427054,0.9268196017409795,0.451771792099056,2,2560x1440,4397.228452977272,5.088024014233789,17.86241812082741,3.0,6.0,2.0
"(2560, 1440)",64,Octree-K-Means,61.41721370004234,0.957938861512296,0.4664935353168341,3,2560x1440,5420.406267427116,1.9012221484102219,21.703163127369933,4.0,4.0,3.0
"(2560, 1440)",64,Octree-SOM,85.40594369951577,0.9718898390076256,0.5092372758920487,4,2560x1440,7576.6020219834445,0.4725570246607785,32.85454688313021,5.0,3.0,4.0
"(2560, 1440)",64,Median-Cut,233.0065371999808,0.9542073310626812,0.6478634523308404,5,2560x1440,20843.489142839066,2.2833536093317597,69.02063041394524,6.0,5.0,5.0
"(2560, 1440)",64,SOM,2381.968210999912,0.976504379046932,0.964182694958028,6,2560x1440,214000.1105168502,0.0,151.5449302622512,7.0,1.0,6.0
"(2560, 1440)",64,Uniform,1.112548800301738,0.5445070530572279,1.0,7,2560x1440,0.0,44.23915911276644,160.8892812302561,1.0,8.0,7.0
"(2560, 1440)",64,K-Means,3092.891147401315,0.9747372069330345,1.000008366884421,8,2560x1440,277900.49279298866,0.18096919499964773,160.89146406071885,8.0,2.0,8.0
"(2560, 1440)",128,Octree-Baseline,19.991885800027376,0.913107608944045,0.3609260890827204,1,2560x1440,1681.5366454573887,7.336815957536334,0.0,2.0,7.0,1.0
"(2560, 1440)",128,Octree-K-Means,82.03673510033695,0.979459365489805,0.4596230865117258,2,2560x1440,7210.538451291602,0.6033653016484469,27.345487182663902,4.0,3.0,2.0
"(2560, 1440)",128,Octree-Euclidean,71.4612389998365,0.9402158855376932,0.4628748851897875,3,2560x1440,6268.124412146406,4.585837651730575,28.246446901681722,3.0,6.0,3.0
"(2560, 1440)",128,Octree-SOM,86.23940249963198,0.9727786292212564,0.4670207362855763,4,2560x1440,7585.050693678608,1.281333909431252,29.395117286337296,5.0,4.0,4.0
"(2560, 1440)",128,Median-Cut,234.0095913001278,0.9619479027841644,0.5938323370545098,5,2560x1440,20753.293504163237,2.3804481729893463,64.53017806601666,6.0,5.0,5.0
"(2560, 1440)",128,SOM,4347.061347799172,0.9854049570815588,0.9550339541048628,6,2560x1440,387279.6183422079,0.0,164.60651723239084,7.0,1.0,6.0
"(2560, 1440)",128,Uniform,1.122170899543562,0.6549978112547494,1.0,7,2560x1440,0.0,33.530087651006475,177.0650363739183,1.0,8.0,7.0
"(2560, 1440)",128,K-Means,6225.046646399642,0.9849395449751294,1.0000009920790494,8,2560x1440,554632.4965325382,0.04723054243687492,177.0653112443362,8.0,2.0,8.0
"(2560, 1440)",256,Octree-Baseline,27.78271449997192,0.9612948293748946,0.3185870759784869,1,2560x1440,2286.371294581405,2.9081459997915653,0.0,2.0,7.0,1.0
"(2560, 1440)",256,Octree-Euclidean,128.51810940010182,0.9734561843976024,0.4764270604882706,2,2560x1440,10938.947512007353,1.6798355270542187,49.543750017167085,3.0,5.0,2.0
"(2560, 1440)",256,Octree-SOM,133.41279559972463,0.9820316205474392,0.4773722439854186,3,2560x1440,11359.372184433636,0.8137068751509456,49.84042981632248,4.0,4.0,3.0
"(2560, 1440)",256,Octree-K-Means,156.32161559988162,0.985859954717743,0.4947837302942153,4,2560x1440,13327.104690958953,0.4270408378761439,55.30565035463848,5.0,3.0,4.0
"(2560, 1440)",256,Median-Cut,238.32268589976596,0.9683298648151982,0.5493795624564342,5,2560x1440,20370.512932755973,2.1975995441319474,72.44251379912595,6.0,6.0,5.0
"(2560, 1440)",256,SOM,7258.329736000815,0.9900880349579388,0.936593883743826,6,2560x1440,623347.7098563022,0.0,193.9836403806509,7.0,1.0,6.0
"(2560, 1440)",256,Uniform,1.164224300009664,0.7311482154495006,1.0,7,2560x1440,0.0,26.15321167066104,213.8859280241257,1.0,8.0,7.0
"(2560, 1440)",256,K-Means,12575.922937900395,0.9894859359980024,1.000002703382446,8,2560x1440,1080097.5991908093,0.0608126690433177,213.88677657783353,8.0,2.0,8.0
